date,ndvi,ndti,rainfall,viirs_proxy,wefe_stress_index,category
2014-02-03,0.0009321946290563948,-0.0020962777707406,0.6277651088884333,7982.212039215819,0.7465526431614928,Red
2014-02-04,0.0138992742924802,-0.0095443728542902,0.0,7606.218166389134,0.7463880751987904,Red
2014-02-05,0.2571164536694849,-0.0899612048997684,0.0,2352.410270904385,0.6890714460311582,Amber
2014-02-06,0.1556915388991213,-0.0546031720204324,7.624517676352405,3691.826023138072,0.6969072876979115,Amber
2014-02-07,0.2471745987113695,-0.0880025311116501,0.0,2539.054773279668,0.6905717736346617,Amber
2014-02-08,0.3026132626195923,-0.098912021866828,0.0,1852.2753607208283,0.6661072425298211,Amber
2014-02-09,0.2640890145357107,-0.0911173103716612,0.0752733911581512,2786.1080134996896,0.6656299287506816,Amber
2014-02-10,0.2878706518794064,-0.1128450593997825,1.1700456835670308,1899.7342792226732,0.6433922921654992,Amber
2014-02-11,0.2708277421879283,-0.0881930913398833,0.0,3036.132409199012,0.6572048481728582,Amber
2014-02-12,0.270786701658716,-0.1044417515103932,0.0,2016.876703011476,0.6714097709027065,Amber
2014-02-13,0.3357081444905854,-0.1139424276882182,0.0,1962.6683802167208,0.6218487880795408,Amber
2014-02-14,0.2706467491100068,-0.114563917099495,0.0197955454044085,2367.066716060941,0.6407880048133727,Amber
2014-02-15,0.0817504560831833,-0.0121507310817973,1.3700730566683732,5638.966437584932,0.7734046948289476,Red
2014-02-16,0.0198052693932583,-0.005406841639625,1.5179640270992545,6550.549666913891,0.7814373666597331,Red
2014-02-17,0.2824842668024981,-0.0964041143311513,0.0,2040.243922431359,0.6768937414789471,Amber
2014-02-18,0.2784950801432478,-0.0828164208904076,0.0,2924.1251531073367,0.6661808937393742,Amber
2014-02-19,0.2891209087937909,-0.0954444557037573,0.0,1963.4939484900144,0.6779609500905625,Amber
2014-02-20,0.3001671179038928,-0.1018929069825056,0.0,3199.124594772242,0.6121173100047173,Amber
2014-02-21,0.2910940093584827,-0.107081203562541,0.0,2221.367285936376,0.6475855758280926,Amber
2014-02-22,0.24015515208671562,-0.0808518367643202,0.0,3606.097583836319,0.6635689508107687,Amber
2014-02-23,0.2639925816873462,-0.0889595233213281,0.0,2580.9537392974257,0.6779022342280266,Amber
2014-02-24,0.3149821180578071,-0.0999043090076963,0.0,1940.5816595711576,0.6573482993282898,Amber
2014-02-25,0.0680980787413772,-0.026435093722087,1.3276906445042096,6596.223698359237,0.7197789359596977,Red
2014-02-26,0.0929731324971367,-0.0243712830410722,0.0093217739057059,5242.303130203095,0.7724935460598004,Red
2014-02-27,0.0925438176701882,-0.030095469863751,0.2788460216926328,5963.483048962568,0.7326740878717596,Red
2014-02-28,0.2597897595593108,-0.0805822589781859,15.37490941469917,2382.215139595335,0.5948859879275139,Amber
2014-03-01,0.1480327877832301,-0.0375418450120317,0.0,3476.1570911058184,0.7907251979423748,Red
