system:index,date,sur_refl_b02_mean,.geo
104,2014-04-15,4766.5253290108985,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2014-04-16,3343.272478943257,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2014-04-17,2709.7828638547744,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2014-04-18,2414.05322834689,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2014-04-19,3049.977301872224,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2014-04-20,2533.9731356006896,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2014-04-21,3474.3715223927584,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2014-04-22,2386.7700580674677,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2014-04-23,3276.1136817836373,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2014-04-24,2559.7600722431785,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2014-04-25,3662.2966385216423,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2014-04-26,3265.0907240656898,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2014-04-27,2293.8536208216055,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2014-04-28,3284.0095996873342,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2014-04-29,2356.82647398417,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2014-04-30,3329.824615377658,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2014-05-01,2629.38659841332,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2014-05-02,3825.6456065864177,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2014-05-03,2765.27716699364,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2014-05-04,2586.688564558773,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2014-05-05,4935.752728087091,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2014-05-06,7113.773599348726,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2014-05-07,3268.2389021960503,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2014-05-08,8228.379315373368,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2014-05-09,4203.34562891523,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2014-05-10,2597.210269470332,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2014-05-11,3453.38581952141,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2014-05-12,3330.9300028432576,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2014-05-13,2511.394593014221,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2014-05-14,3582.1955142446004,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2014-05-15,2336.3400685637707,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2014-05-16,3285.4573855330127,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2014-05-17,2565.409384128276,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2014-05-18,3373.4961784828083,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2014-05-19,3623.2817453517337,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2014-05-20,3250.4209409346413,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2014-05-21,3855.232517543133,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2014-05-22,2746.472956141338,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2014-05-23,3876.3930191263175,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2014-05-24,2504.0849135726644,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2014-05-25,3256.5871250662094,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2014-05-26,2880.3700057119154,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2014-05-27,3205.2514698964146,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2014-05-28,2951.1233033933013,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2014-05-29,3372.444679425816,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2014-05-30,3373.4601888264183,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2014-05-31,3008.8243329047505,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2014-06-01,3949.0325330040605,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2014-06-02,4430.529643557945,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2014-06-03,3209.844064014619,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2014-06-04,2834.3596551265946,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2014-06-05,4330.3862222052285,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2014-06-06,4217.101605773505,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2014-06-07,3448.141112818774,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2014-06-08,3570.045592800597,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2014-06-09,2476.8192466208347,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2014-06-10,3282.7088056007938,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2014-06-11,3524.60900482772,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2014-06-12,4139.132688401551,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2014-06-13,3490.8312478038465,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2014-06-14,2342.3965951198584,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2014-06-15,3551.5352682191146,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2014-06-16,2335.1928944394685,"{""type"":""MultiPoint"",""coordinates"":[]}"
